date,month,income,day,weekday,balance,day_duplicates
,,44.27105240999998,2023-03-12,,50.0,2023-03-12
,,-82.24148419999999,2023-03-19,,50.0,2023-03-19
,,0.0,2023-03-26,,50.0,2023-03-26
,,0.0,2023-04-02,,50.0,2023-04-02
,,0.0,2023-04-09,,50.0,2023-04-09
,,0.0,2023-04-16,,50.0,2023-04-16
,,0.0,2023-04-23,,50.0,2023-04-23
,,0.0,2023-04-30,,50.0,2023-04-30
,,0.0,2023-05-07,,50.0,2023-05-07
,,-1.2999401500000003,2023-05-14,,50.0,2023-05-14
,,-36.34693348,2023-05-21,,50.0,2023-05-21
,,-3.35416995,2023-05-28,,322.0,2023-05-28
,,-12.76206024,2023-06-04,,309.17,2023-06-04
,,127.2737196,2023-06-11,,331.31,2023-06-11
,,73.67503407999999,2023-06-18,,50.0,2023-06-18
,,7.750447589999999,2023-06-25,,50.0,2023-06-25
,,-135.38268194,2023-07-02,,50.0,2023-07-02
,,31.871578830000004,2023-07-09,,50.0,2023-07-09
,,37.75606493,2023-07-16,,348.58,2023-07-16
